#id name            texture-top     texture-bottom  texture-front   texture-back    texture-left    texture-right
#0   Air             None            None            None            None            None            None
43  DoubleStoneSlab StoneSlabTop    StoneSlabTop    DoubleStoneSlab DoubleStoneSlab DoubleStoneSlab DoubleStoneSlab
#44  StoneSlab       ?               ?               ?               ?               ?               ?
45  Brick           Brick           Brick           Brick           Brick           Brick           Brick
46  TNT             TntTop          TntBottom       TntSide         TntSide         TntSide         TntSide
47  Bookshelf       WoodenPlank     WoodenPlank     Bookshelf       Bookshelf       Bookshelf       Bookshelf
48  MossStone       MossStone       MossStone       MossStone       MossStone       MossStone       MossStone
49  Obsidian        Obsidian        Obsidian        Obsidian        Obsidian        Obsidian        Obsidian
50  Torch           Torch           Torch           Torch           Torch           Torch           Torch
#51  Fire            ?               ?               ?               ?               ?               ?
52  MonsterSpawner  MonsterSpawner  MonsterSpawner  MonsterSpawner  MonsterSpawner  MonsterSpawner  MonsterSpawner
#53  WoodenStairs    ?               ?               ?               ?               ?               ?
54  Chest           ChestBottom     ChestBottom     SmallChestFront SmallChestBack  SmallChestBack  SmallChestBack
55  RedstoneWire    RedWire4wayOff  RedWire4wayOff  RedWire4wayOff  RedWire4wayOff  RedWire4wayOff  RedWire4wayOff
56  DiamondOre      DiamondOre      DiamondOre      DiamondOre      DiamondOre      DiamondOre      DiamondOre
57  DiamondBlock    DiamondBlock    DiamondBlock    DiamondBlock    DiamondBlock    DiamondBlock    DiamondBlock
58  Workbench       WorkbenchTop    WoodenPlank     WorkbenchFront  WorkbenchFront  WorkbenchBack   WorkbenchBack
59  Crops           Wheat6          Wheat6          Wheat6          Wheat6          Wheat6          Wheat6
60  Farmland        DryTilledDirt   Dirt            Dirt            Dirt            Dirt            Dirt
61  Furnace         FurnaceTop      FurnaceTop      FurnaceFront    FurnaceBack     FurnaceBack     FurnaceBack
62  BurningFurnace  FurnaceTop      FurnaceTop      FurnaceFrontLit FurnaceBack     FurnaceBack     FurnaceBack
#63  SignPost        ?               ?               ?               ?               ?               ?
64  WoodenDoor      WoodDoorTop     WoodDoorTop     WoodDoorTop     WoodDoorTop     WoodDoorTop     WoodDoorTop
65  Ladder          Ladder          Ladder          Ladder          Ladder          Ladder          Ladder
66  MinecartTracks  TrackStraight   TrackStraight   TrackStraight   TrackStraight   TrackStraight   TrackStraight
#67  CobblestoneStairs ?             ?               ?               ?               ?               ?
#68  WallSign        ?               ?               ?               ?               ?               ?
#69  Lever           ?               ?               ?               ?               ?               ?
#70  StonePressurePlate ?            ?               ?               ?               ?               ?
71  IronDoor        IronDoorTop     IronDoorTop     IronDoorTop     IronDoorTop     IronDoorTop     IronDoorTop
#72  WoodenPressurePlate ?           ?               ?               ?               ?               ?
73  RedstoneOre     RedstoneOre     RedstoneOre     RedstoneOre     RedstoneOre     RedstoneOre     RedstoneOre
74  GlowingRedstoneOre RedstoneOre  RedstoneOre     RedstoneOre     RedstoneOre     RedstoneOre     RedstoneOre
75  RedstoneTorchOff RedstoneTorchOff RedstoneTorchOff RedstoneTorchOff RedstoneTorchOff RedstoneTorchOff RedstoneTorchOff
76  RedstoneTorchOn RedstoneTorchOn RedstoneTorchOn RedstoneTorchOn RedstoneTorchOn RedstoneTorchOn RedstoneTorchOn
#77  StoneButton     ?               ?               ?               ?               ?               ?
78  Snow            Snow            Dirt            SnowDirtSide    SnowDirtSide    SnowDirtSide    SnowDirtSide
79  Ice             Ice             Ice             Ice             Ice             Ice             Ice
80  SnowBlock       SnowBlock       SnowBlock       SnowBlock       SnowBlock       SnowBlock       SnowBlock
81  Cactus          CactusTop       CactusBottom    CactusSide      CactusSide      CactusSide      CactusSide
82  Clay            Clay            Clay            Clay            Clay            Clay            Clay
83  SugarCane       SugarCane       SugarCane       SugarCane       SugarCane       SugarCane       SugarCane
84  Jukebox         JukeBoxTop      NoteBlock       NoteBlock       NoteBlock       NoteBlock       NoteBlock
#85  Fence           ?               ?               ?               ?               ?               ?
86  Pumpkin         PumpkinTop      PumpkinTop      PumpkinFront    PumpkinBack     PumpkinBack     PumpkinBack
87  Netherrack      Netherrack      Netherrack      Netherrack      Netherrack      Netherrack      Netherrack
88  SoulSand        SoulSand        SoulSand        SoulSand        SoulSand        SoulSand        SoulSand
89  Glowstone       Glowstone       Glowstone       Glowstone       Glowstone       Glowstone       Glowstone
#90  Portal          ?               ?               ?               ?               ?               ?
91  JackOLantern    PumpkinTop      PumpkinTop      JackOLanternFront PumpkinBack   PumpkinBack     PumpkinBack
92  CakeBlock       CakeTop         CakeBottom      CakeSide        CakeSide        CakeSide        CakeSide
